gid,village,nbrbati,lat,lon,comm_fkt
"497",Andakana Fasintsara,"82","-20.8256123152554","47.6673094629724",AMBOHIMANGA DU SUD_FASINTSARA ANDAKANA
"498",NA,"13","-20.8209598418141","47.6478801308652",AMBOHIMANGA DU SUD_FASINTSARA ANDAKANA
"499",NA,"14","-20.8040736122806","47.6564259971495",AMBOHIMANGA DU SUD_FASINTSARA ANDAKANA
"500",NA,"13","-20.8098226358931","47.651595869085",AMBOHIMANGA DU SUD_FASINTSARA ANDAKANA
"704",NA,"18","-20.85707258818","47.6706130027694",AMBOHIMANGA DU SUD_NOSIMBOAHANGY
"705",Nosimboahangy,"122","-20.8588672277147","47.6641478432263",AMBOHIMANGA DU SUD_NOSIMBOAHANGY
"706",NA,"9","-20.8496891884654","47.661897332648",AMBOHIMANGA DU SUD_NOSIMBOAHANGY
"707",NA,"17","-20.8696589741718","47.655420715307",AMBOHIMANGA DU SUD_NOSIMBOAHANGY
"708",Ambalaherana,"187","-20.8399698088874","47.6486048035792",AMBOHIMANGA DU SUD_AMBALAHERANA
"709",NA,"13","-20.8568703854761","47.6533747390943",AMBOHIMANGA DU SUD_AMBALAHERANA
"710",NA,"11","-20.8511580886589","47.6448934941745",AMBOHIMANGA DU SUD_AMBALAHERANA
"711",NA,"19","-20.8768075558984","47.63252505261",AMBOHIMANGA DU SUD_AMBALAHERANA
"712",NA,"73","-20.7481067737428","47.7372403151896",MAROHARATRA_AMPASIMADINIKAKELY
"713",NA,"17","-20.7625681906387","47.7257466489937",MAROHARATRA_AMPASIMADINIKAKELY
